Month,Month_Num,Country,Articles,Year,Date
November,11,Scotland,2,2016,2016-11-01
November,11,Wales,2,2016,2016-11-01
October,10,England,7,2016,2016-10-01
October,10,Ireland,1,2016,2016-10-01
September,9,England,19,2016,2016-09-01
September,9,Ireland,2,2016,2016-09-01
September,9,Northern_Ireland,2,2016,2016-09-01
September,9,Scotland,5,2016,2016-09-01
September,9,Wales,3,2016,2016-09-01
April,4,England,25,2017,2017-04-01
April,4,Scotland,7,2017,2017-04-01
April,4,Wales,1,2017,2017-04-01
August,8,England,33,2017,2017-08-01
August,8,Ireland,2,2017,2017-08-01
August,8,Northern_Ireland,5,2017,2017-08-01
August,8,Scotland,16,2017,2017-08-01
December,12,England,6,2017,2017-12-01
December,12,Ireland,2,2017,2017-12-01
December,12,Northern_Ireland,1,2017,2017-12-01
December,12,Scotland,3,2017,2017-12-01
December,12,Wales,1,2017,2017-12-01
February,2,England,38,2017,2017-02-01
February,2,Ireland,1,2017,2017-02-01
February,2,Northern_Ireland,1,2017,2017-02-01
February,2,Scotland,18,2017,2017-02-01
February,2,Wales,2,2017,2017-02-01
January,1,England,16,2017,2017-01-01
January,1,Scotland,7,2017,2017-01-01
January,1,Wales,3,2017,2017-01-01
July,7,England,38,2017,2017-07-01
July,7,Ireland,6,2017,2017-07-01
July,7,Northern_Ireland,2,2017,2017-07-01
July,7,Scotland,18,2017,2017-07-01
July,7,Wales,13,2017,2017-07-01
June,6,England,22,2017,2017-06-01
June,6,Scotland,11,2017,2017-06-01
June,6,Wales,2,2017,2017-06-01
March,3,England,19,2017,2017-03-01
March,3,Ireland,6,2017,2017-03-01
March,3,Northern_Ireland,1,2017,2017-03-01
March,3,Scotland,5,2017,2017-03-01
March,3,Wales,3,2017,2017-03-01
May,5,England,34,2017,2017-05-01
May,5,Ireland,10,2017,2017-05-01
May,5,Northern_Ireland,1,2017,2017-05-01
May,5,Scotland,10,2017,2017-05-01
May,5,Wales,6,2017,2017-05-01
November,11,England,9,2017,2017-11-01
November,11,Ireland,4,2017,2017-11-01
November,11,Northern_Ireland,1,2017,2017-11-01
November,11,Scotland,2,2017,2017-11-01
October,10,England,4,2017,2017-10-01
October,10,Ireland,1,2017,2017-10-01
October,10,Scotland,2,2017,2017-10-01
September,9,England,13,2017,2017-09-01
September,9,Scotland,15,2017,2017-09-01
April,4,England,25,2018,2018-04-01
April,4,Ireland,2,2018,2018-04-01
April,4,Scotland,6,2018,2018-04-01
April,4,Wales,2,2018,2018-04-01
August,8,England,30,2018,2018-08-01
August,8,Ireland,3,2018,2018-08-01
August,8,Northern_Ireland,3,2018,2018-08-01
August,8,Scotland,25,2018,2018-08-01
August,8,Wales,4,2018,2018-08-01
December,12,England,5,2018,2018-12-01
December,12,Northern_Ireland,1,2018,2018-12-01
December,12,Scotland,6,2018,2018-12-01
December,12,Wales,1,2018,2018-12-01
February,2,England,6,2018,2018-02-01
February,2,Ireland,1,2018,2018-02-01
February,2,Scotland,2,2018,2018-02-01
February,2,Wales,2,2018,2018-02-01
January,1,England,7,2018,2018-01-01
January,1,Ireland,2,2018,2018-01-01
January,1,Northern_Ireland,1,2018,2018-01-01
January,1,Scotland,6,2018,2018-01-01
January,1,Wales,1,2018,2018-01-01
July,7,England,46,2018,2018-07-01
July,7,Ireland,7,2018,2018-07-01
July,7,Northern_Ireland,1,2018,2018-07-01
July,7,Scotland,19,2018,2018-07-01
July,7,Wales,5,2018,2018-07-01
June,6,England,30,2018,2018-06-01
June,6,Ireland,1,2018,2018-06-01
June,6,Scotland,8,2018,2018-06-01
June,6,Wales,7,2018,2018-06-01
March,3,England,14,2018,2018-03-01
March,3,Ireland,1,2018,2018-03-01
March,3,Scotland,9,2018,2018-03-01
March,3,Wales,3,2018,2018-03-01
May,5,England,14,2018,2018-05-01
May,5,Ireland,1,2018,2018-05-01
May,5,Scotland,20,2018,2018-05-01
May,5,Wales,1,2018,2018-05-01
November,11,England,11,2018,2018-11-01
November,11,Ireland,6,2018,2018-11-01
November,11,Scotland,2,2018,2018-11-01
October,10,England,8,2018,2018-10-01
October,10,Ireland,1,2018,2018-10-01
October,10,Wales,1,2018,2018-10-01
September,9,England,8,2018,2018-09-01
September,9,Ireland,2,2018,2018-09-01
September,9,Scotland,10,2018,2018-09-01
September,9,Wales,2,2018,2018-09-01
April,4,England,19,2019,2019-04-01
April,4,Ireland,5,2019,2019-04-01
April,4,Scotland,17,2019,2019-04-01
April,4,Wales,1,2019,2019-04-01
August,8,England,100,2019,2019-08-01
August,8,Ireland,9,2019,2019-08-01
August,8,Northern_Ireland,2,2019,2019-08-01
August,8,Scotland,51,2019,2019-08-01
August,8,Wales,5,2019,2019-08-01
December,12,England,6,2019,2019-12-01
December,12,Ireland,4,2019,2019-12-01
February,2,England,19,2019,2019-02-01
February,2,Ireland,2,2019,2019-02-01
February,2,Northern_Ireland,1,2019,2019-02-01
February,2,Scotland,7,2019,2019-02-01
February,2,Wales,2,2019,2019-02-01
January,1,England,14,2019,2019-01-01
January,1,Ireland,1,2019,2019-01-01
January,1,Northern_Ireland,1,2019,2019-01-01
January,1,Scotland,7,2019,2019-01-01
July,7,England,118,2019,2019-07-01
July,7,Ireland,12,2019,2019-07-01
July,7,Northern_Ireland,4,2019,2019-07-01
July,7,Scotland,35,2019,2019-07-01
July,7,Wales,12,2019,2019-07-01
June,6,England,31,2019,2019-06-01
June,6,Ireland,1,2019,2019-06-01
June,6,Northern_Ireland,2,2019,2019-06-01
June,6,Scotland,14,2019,2019-06-01
June,6,Wales,11,2019,2019-06-01
March,3,England,15,2019,2019-03-01
March,3,Ireland,3,2019,2019-03-01
March,3,Northern_Ireland,2,2019,2019-03-01
March,3,Scotland,24,2019,2019-03-01
March,3,Wales,3,2019,2019-03-01
May,5,England,18,2019,2019-05-01
May,5,Ireland,1,2019,2019-05-01
May,5,Scotland,8,2019,2019-05-01
May,5,Wales,2,2019,2019-05-01
November,11,England,18,2019,2019-11-01
November,11,Ireland,1,2019,2019-11-01
November,11,Scotland,5,2019,2019-11-01
November,11,Wales,1,2019,2019-11-01
October,10,England,33,2019,2019-10-01
October,10,Scotland,6,2019,2019-10-01
September,9,England,32,2019,2019-09-01
September,9,Scotland,13,2019,2019-09-01
September,9,Wales,2,2019,2019-09-01
April,4,England,20,2020,2020-04-01
April,4,Ireland,2,2020,2020-04-01
April,4,Scotland,8,2020,2020-04-01
April,4,Wales,3,2020,2020-04-01
August,8,England,33,2020,2020-08-01
August,8,Ireland,3,2020,2020-08-01
August,8,Northern_Ireland,1,2020,2020-08-01
August,8,Scotland,22,2020,2020-08-01
August,8,Wales,8,2020,2020-08-01
December,12,England,5,2020,2020-12-01
December,12,Northern_Ireland,1,2020,2020-12-01
December,12,Scotland,1,2020,2020-12-01
December,12,Wales,1,2020,2020-12-01
February,2,England,20,2020,2020-02-01
February,2,Ireland,4,2020,2020-02-01
February,2,Northern_Ireland,1,2020,2020-02-01
February,2,Scotland,7,2020,2020-02-01
February,2,Wales,2,2020,2020-02-01
January,1,England,15,2020,2020-01-01
January,1,Scotland,3,2020,2020-01-01
January,1,Wales,1,2020,2020-01-01
July,7,England,48,2020,2020-07-01
July,7,Ireland,1,2020,2020-07-01
July,7,Northern_Ireland,3,2020,2020-07-01
July,7,Scotland,22,2020,2020-07-01
July,7,Wales,1,2020,2020-07-01
June,6,England,18,2020,2020-06-01
June,6,Ireland,1,2020,2020-06-01
June,6,Scotland,10,2020,2020-06-01
June,6,Wales,3,2020,2020-06-01
March,3,England,14,2020,2020-03-01
March,3,Scotland,7,2020,2020-03-01
March,3,Wales,1,2020,2020-03-01
May,5,England,27,2020,2020-05-01
May,5,Ireland,5,2020,2020-05-01
May,5,Scotland,7,2020,2020-05-01
May,5,Wales,6,2020,2020-05-01
November,11,England,20,2020,2020-11-01
November,11,Ireland,4,2020,2020-11-01
November,11,Northern_Ireland,1,2020,2020-11-01
November,11,Scotland,6,2020,2020-11-01
November,11,Wales,3,2020,2020-11-01
October,10,England,12,2020,2020-10-01
October,10,Ireland,2,2020,2020-10-01
October,10,Scotland,7,2020,2020-10-01
September,9,England,35,2020,2020-09-01
September,9,Ireland,1,2020,2020-09-01
September,9,Northern_Ireland,2,2020,2020-09-01
September,9,Scotland,12,2020,2020-09-01
September,9,Wales,3,2020,2020-09-01
April,4,England,21,2021,2021-04-01
April,4,Ireland,3,2021,2021-04-01
April,4,Scotland,10,2021,2021-04-01
April,4,Wales,3,2021,2021-04-01
August,8,England,26,2021,2021-08-01
August,8,Ireland,2,2021,2021-08-01
August,8,Northern_Ireland,2,2021,2021-08-01
August,8,Scotland,23,2021,2021-08-01
August,8,Wales,3,2021,2021-08-01
December,12,England,14,2021,2021-12-01
December,12,Ireland,5,2021,2021-12-01
December,12,Scotland,11,2021,2021-12-01
February,2,England,12,2021,2021-02-01
February,2,Ireland,1,2021,2021-02-01
February,2,Scotland,4,2021,2021-02-01
February,2,Wales,1,2021,2021-02-01
January,1,England,11,2021,2021-01-01
January,1,Scotland,1,2021,2021-01-01
July,7,England,70,2021,2021-07-01
July,7,Ireland,11,2021,2021-07-01
July,7,Northern_Ireland,1,2021,2021-07-01
July,7,Scotland,35,2021,2021-07-01
July,7,Wales,8,2021,2021-07-01
June,6,England,33,2021,2021-06-01
June,6,Ireland,2,2021,2021-06-01
June,6,Northern_Ireland,1,2021,2021-06-01
June,6,Scotland,14,2021,2021-06-01
June,6,Wales,2,2021,2021-06-01
March,3,England,13,2021,2021-03-01
March,3,Ireland,1,2021,2021-03-01
March,3,Scotland,3,2021,2021-03-01
March,3,Wales,1,2021,2021-03-01
May,5,England,23,2021,2021-05-01
May,5,Ireland,5,2021,2021-05-01
May,5,Northern_Ireland,1,2021,2021-05-01
May,5,Scotland,11,2021,2021-05-01
May,5,Wales,3,2021,2021-05-01
November,11,England,10,2021,2021-11-01
November,11,Ireland,1,2021,2021-11-01
November,11,Scotland,6,2021,2021-11-01
November,11,Wales,2,2021,2021-11-01
October,10,England,18,2021,2021-10-01
October,10,Scotland,4,2021,2021-10-01
September,9,England,15,2021,2021-09-01
September,9,Ireland,3,2021,2021-09-01
September,9,Scotland,16,2021,2021-09-01
September,9,Wales,1,2021,2021-09-01
April,4,England,24,2022,2022-04-01
April,4,Scotland,11,2022,2022-04-01
April,4,Wales,3,2022,2022-04-01
August,8,England,45,2022,2022-08-01
August,8,Ireland,10,2022,2022-08-01
August,8,Northern_Ireland,2,2022,2022-08-01
August,8,Scotland,29,2022,2022-08-01
August,8,Wales,9,2022,2022-08-01
December,12,England,8,2022,2022-12-01
December,12,Ireland,4,2022,2022-12-01
December,12,Scotland,8,2022,2022-12-01
December,12,Wales,4,2022,2022-12-01
February,2,England,18,2022,2022-02-01
February,2,Scotland,15,2022,2022-02-01
February,2,Wales,1,2022,2022-02-01
January,1,England,10,2022,2022-01-01
January,1,Ireland,2,2022,2022-01-01
January,1,Northern_Ireland,1,2022,2022-01-01
January,1,Scotland,9,2022,2022-01-01
July,7,England,45,2022,2022-07-01
July,7,Ireland,4,2022,2022-07-01
July,7,Scotland,39,2022,2022-07-01
July,7,Wales,11,2022,2022-07-01
June,6,England,38,2022,2022-06-01
June,6,Ireland,2,2022,2022-06-01
June,6,Northern_Ireland,1,2022,2022-06-01
June,6,Scotland,11,2022,2022-06-01
June,6,Wales,11,2022,2022-06-01
March,3,England,20,2022,2022-03-01
March,3,Ireland,2,2022,2022-03-01
March,3,Scotland,16,2022,2022-03-01
May,5,England,30,2022,2022-05-01
May,5,Scotland,11,2022,2022-05-01
May,5,Wales,5,2022,2022-05-01
November,11,England,6,2022,2022-11-01
November,11,Scotland,3,2022,2022-11-01
November,11,Wales,1,2022,2022-11-01
October,10,England,11,2022,2022-10-01
October,10,Ireland,3,2022,2022-10-01
October,10,Scotland,7,2022,2022-10-01
October,10,Wales,4,2022,2022-10-01
September,9,England,8,2022,2022-09-01
September,9,Ireland,4,2022,2022-09-01
September,9,Northern_Ireland,1,2022,2022-09-01
September,9,Scotland,5,2022,2022-09-01
September,9,Wales,3,2022,2022-09-01
